id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId
1627739,2021-03-30 17:18:03.992,2021-03-30 17:19:29.627,1627739,Kris Dunn,kris-dunn,6-3,205,32,G,1610612737
1627759,2021-03-30 17:18:03.778,2021-03-30 17:19:29.753,1627759,Jaylen Brown,jaylen-brown,6-6,223,7,G-F,1610612738
202689,2021-03-30 17:18:03.782,2021-03-30 17:19:29.778,202689,Kemba Walker,kemba-walker,6-0,184,8,G,1610612738
1629684,2021-03-30 17:18:03.784,2021-03-30 17:19:29.794,1629684,Grant Williams,grant-williams,6-6,236,12,F,1610612738
1628400,2021-03-30 17:18:03.787,2021-03-30 17:19:29.85,1628400,Semi Ojeleye,semi-ojeleye,6-6,240,37,F,1610612738
1629641,2021-03-30 17:18:03.792,2021-03-30 17:19:29.891,1629641,Romeo Langford,romeo-langford,6-4,216,45,G-F,1610612738
1629682,2021-03-30 17:18:03.794,2021-03-30 17:19:29.899,1629682,Tremont Waters,tremont-waters,5-10,175,51,G,1610612738
1629605,2021-03-30 17:18:03.796,2021-03-30 17:19:29.933,1629605,Tacko Fall,tacko-fall,7-5,311,99,C,1610612738
201933,2021-03-30 17:18:03.994,2021-03-30 17:19:30.055,201933,Blake Griffin,blake-griffin,6-9,250,2,F,1610612751
1629185,2021-03-30 17:18:03.799,2021-03-30 17:19:30.081,1629185,Chris Chiozza,chris-chiozza,5-11,175,4,G,1610612751
201142,2021-03-30 17:18:03.801,2021-03-30 17:19:30.097,201142,Kevin Durant,kevin-durant,6-10,240,7,F,1610612751
1627789,2021-03-30 17:18:03.803,2021-03-30 17:19:30.131,1627789,Timothe Luwawu-Cabarrot,timothe-luwawu-cabarrot,6-7,220,9,G-F,1610612751
202681,2021-03-30 17:18:03.822,2021-03-30 17:19:30.148,202681,Kyrie Irving,kyrie-irving,6-2,195,11,G,1610612751
201935,2021-03-30 17:18:03.996,2021-03-30 17:19:30.191,201935,James Harden,james-harden,6-5,220,13,G,1610612751
1628970,2021-03-30 17:18:03.825,2021-03-30 17:19:30.399,1628970,Miles Bridges,miles-bridges,6-6,225,0,F,1610612766
1628370,2021-03-30 17:18:03.827,2021-03-30 17:19:30.408,1628370,Malik Monk,malik-monk,6-3,200,1,G,1610612766
1626179,2021-03-30 17:18:03.829,2021-03-30 17:19:30.443,1626179,Terry Rozier,terry-rozier,6-1,190,3,G,1610612766
1628984,2021-03-30 17:18:03.832,2021-03-30 17:19:30.451,1628984,Devonte' Graham,devonte-graham,6-1,195,4,G,1610612766
1629667,2021-03-30 17:18:03.834,2021-03-30 17:19:30.478,1629667,Jalen McDaniels,jalen-mcdaniels,6-9,205,6,F-C,1610612766
202687,2021-03-30 17:18:03.836,2021-03-30 17:19:30.496,202687,Bismack Biyombo,bismack-biyombo,6-8,255,8,C,1610612766
202954,2021-03-30 17:18:03.838,2021-03-30 17:19:30.505,202954,Brad Wanamaker,brad-wanamaker,6-3,210,9,G,1610612766
1628998,2021-03-30 17:18:03.843,2021-03-30 17:19:30.537,1628998,Cody Martin,cody-martin,6-5,205,11,F,1610612766
202330,2021-03-30 17:18:03.846,2021-03-30 17:19:30.553,202330,Gordon Hayward,gordon-hayward,6-7,225,20,F,1610612766
1629023,2021-03-30 17:18:03.848,2021-03-30 17:19:30.586,1629023,P.J. Washington,pj-washington,6-7,230,25,F,1610612766
203469,2021-03-30 17:18:03.85,2021-03-30 17:19:30.601,203469,Cody Zeller,cody-zeller,6-11,240,40,F-C,1610612766
1629632,2021-03-30 17:18:03.852,2021-03-30 17:19:30.692,1629632,Coby White,coby-white,6-5,195,0,G,1610612741
1628972,2021-03-30 17:18:03.999,2021-03-30 17:19:30.744,1628972,Troy Brown Jr.,troy-brown-jr,6-6,215,7,G-F,1610612741
1629750,2021-03-30 17:18:03.873,2021-03-30 17:19:30.786,1629750,Javonte Green,javonte-green,6-4,205,11,G-F,1610612741
1628464,2021-03-30 17:18:03.855,2021-03-30 17:19:30.843,1628464,Daniel Theis,daniel-theis,6-8,245,27,F-C,1610612741
