id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,logoSlug,wins,losses,winPercentage,conference,division,established
1610612737,2021-03-30 17:18:03.495,2021-03-30 17:19:29.319,1610612737,Hawks,hawks,Atlanta,ATL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/atlanta-hawks-logo.png,atlanta-hawks-logo,23,23,0.5,East,Southeast,1949
1610612738,2021-03-30 17:18:03.647,2021-03-30 17:19:29.732,1610612738,Celtics,celtics,Boston,BOS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/boston-celtics-logo.png,boston-celtics-logo,23,24,0.489,East,Atlantic,1946
1610612751,2021-03-30 17:18:03.651,2021-03-30 17:19:30.036,1610612751,Nets,nets,Brooklyn,BKN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/brooklyn-nets-logo.png,brooklyn-nets-logo,32,15,0.681,East,Atlantic,1976
1610612741,2021-03-30 17:18:03.674,2021-03-30 17:19:30.688,1610612741,Bulls,bulls,Chicago,CHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/chicago-bulls-logo.png,chicago-bulls-logo,19,26,0.422,East,Central,1966
1610612739,2021-03-30 17:18:03.677,2021-03-30 17:19:30.983,1610612739,Cavaliers,cavaliers,Cleveland,CLE,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/cleveland-cavaliers-logo.png,cleveland-cavaliers-logo,17,30,0.362,East,Central,1970
1610612742,2021-03-30 17:18:03.68,2021-03-30 17:19:31.256,1610612742,Mavericks,mavericks,Dallas,DAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/dallas-mavericks-logo.png,dallas-mavericks-logo,24,21,0.533,West,Southwest,1980
1610612743,2021-03-30 17:18:03.682,2021-03-30 17:19:31.55,1610612743,Nuggets,nuggets,Denver,DEN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/denver-nuggets-logo.png,denver-nuggets-logo,28,18,0.609,West,Northwest,1976
1610612765,2021-03-30 17:18:03.685,2021-03-30 17:19:31.838,1610612765,Pistons,pistons,Detroit,DET,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/detroit-pistons-logo.png,detroit-pistons-logo,13,33,0.283,East,Central,1948
1610612744,2021-03-30 17:18:03.688,2021-03-30 17:19:32.106,1610612744,Warriors,warriors,Golden State,GSW,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/golden-state-warriors-logo.png,golden-state-warriors-logo,23,24,0.489,West,Pacific,1946
1610612745,2021-03-30 17:18:03.691,2021-03-30 17:19:32.382,1610612745,Rockets,rockets,Houston,HOU,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/houston-rockets-logo.png,houston-rockets-logo,13,33,0.283,West,Southwest,1967
